team1,team2,score1,score2,RESULT,SCORE_DIFF
Portland Trail Blazers,Indiana Pacers,100,106,L,-6
Indiana Pacers,Portland Trail Blazers,106,100,W,6
Sacramento Kings,Oklahoma City Thunder,108,112,L,-4
Oklahoma City Thunder,Sacramento Kings,112,108,W,4
Philadelphia 76ers,Cleveland Cavaliers,94,108,L,-14
Cleveland Cavaliers,Philadelphia 76ers,108,94,W,14
Orlando Magic,Atlanta Hawks,130,120,W,10
Atlanta Hawks,Orlando Magic,120,130,L,-10
New York Knicks,Charlotte Hornets,101,107,L,-6
Charlotte Hornets,New York Knicks,107,101,W,6
Minnesota Timberwolves,Miami Heat,129,126,W,3
Miami Heat,Minnesota Timberwolves,126,129,L,-3
Los Angeles Clippers,Phoenix Suns,102,92,W,10
Phoenix Suns,Los Angeles Clippers,92,102,L,-10
Dallas Mavericks,San Antonio Spurs,109,103,W,6
San Antonio Spurs,Dallas Mavericks,103,109,L,-6
Memphis Grizzlies,Houston Rockets,112,140,L,-28
Houston Rockets,Memphis Grizzlies,140,112,W,28
Brooklyn Nets,Washington Wizards,106,110,L,-4
Washington Wizards,Brooklyn Nets,110,106,W,4
Boston Celtics,Utah Jazz,114,103,W,11
Utah Jazz,Boston Celtics,103,114,L,-11
Sacramento Kings,Golden State Warriors,112,94,W,18
Golden State Warriors,Sacramento Kings,94,112,L,-18
Boston Celtics,Portland Trail Blazers,118,106,W,12
Portland Trail Blazers,Boston Celtics,106,118,L,-12
Charlotte Hornets,Indiana Pacers,80,119,L,-39
Indiana Pacers,Charlotte Hornets,119,80,W,39
New Orleans Pelicans,Los Angeles Lakers,109,118,L,-9
Los Angeles Lakers,New Orleans Pelicans,118,109,W,9
Milwaukee Bucks,Toronto Raptors,108,97,W,11
Toronto Raptors,Milwaukee Bucks,97,108,L,-11
Detroit Pistons,Denver Nuggets,98,115,L,-17
Denver Nuggets,Detroit Pistons,115,98,W,17
Oklahoma City Thunder,Chicago Bulls,124,122,W,2
Chicago Bulls,Oklahoma City Thunder,122,124,L,-2
Phoenix Suns,Utah Jazz,131,111,W,20
Utah Jazz,Phoenix Suns,111,131,L,-20
Memphis Grizzlies,Los Angeles Clippers,97,124,L,-27
Los Angeles Clippers,Memphis Grizzlies,124,97,W,27
Milwaukee Bucks,Washington Wizards,137,134,W,3
Washington Wizards,Milwaukee Bucks,134,137,L,-3
Atlanta Hawks,Philadelphia 76ers,112,129,L,-17
Philadelphia 76ers,Atlanta Hawks,129,112,W,17
Minnesota Timberwolves,Dallas Mavericks,123,139,L,-16
Dallas Mavericks,Minnesota Timberwolves,139,123,W,16
New York Knicks,Houston Rockets,112,123,L,-11
Houston Rockets,New York Knicks,123,112,W,11
Orlando Magic,Brooklyn Nets,115,113,W,2
Brooklyn Nets,Orlando Magic,113,115,L,-2
Miami Heat,Cleveland Cavaliers,119,125,L,-6
Cleveland Cavaliers,Miami Heat,125,119,W,6
New Orleans Pelicans,Golden State Warriors,115,101,W,14
Golden State Warriors,New Orleans Pelicans,101,115,L,-14
Washington Wizards,Chicago Bulls,117,126,L,-9
Chicago Bulls,Washington Wizards,126,117,W,9
Detroit Pistons,Portland Trail Blazers,104,107,L,-3
Portland Trail Blazers,Detroit Pistons,107,104,W,3
Indiana Pacers,Toronto Raptors,81,127,L,-46
Toronto Raptors,Indiana Pacers,127,81,W,46
Boston Celtics,Los Angeles Lakers,112,114,L,-2
Los Angeles Lakers,Boston Celtics,114,112,W,2
San Antonio Spurs,Oklahoma City Thunder,103,131,L,-28
Oklahoma City Thunder,San Antonio Spurs,131,103,W,28
Minnesota Timberwolves,Denver Nuggets,116,128,L,-12
Denver Nuggets,Minnesota Timberwolves,128,116,W,12
Houston Rockets,Utah Jazz,120,110,W,10
Utah Jazz,Houston Rockets,110,120,L,-10
Dallas Mavericks,Atlanta Hawks,107,111,L,-4
Atlanta Hawks,Dallas Mavericks,111,107,W,4
Philadelphia 76ers,Milwaukee Bucks,98,119,L,-21
Milwaukee Bucks,Philadelphia 76ers,119,98,W,21
Phoenix Suns,Chicago Bulls,112,104,W,8
Chicago Bulls,Phoenix Suns,104,112,L,-8
Brooklyn Nets,Charlotte Hornets,115,86,W,29
Charlotte Hornets,Brooklyn Nets,86,115,L,-29
Sacramento Kings,Los Angeles Clippers,112,103,W,9
Los Angeles Clippers,Sacramento Kings,103,112,L,-9
Cleveland Cavaliers,Miami Heat,105,124,L,-19
Miami Heat,Cleveland Cavaliers,124,105,W,19
Cleveland Cavaliers,Washington Wizards,113,108,W,5
Washington Wizards,Cleveland Cavaliers,108,113,L,-5
Indiana Pacers,New York Knicks,106,98,W,8
New York Knicks,Indiana Pacers,98,106,L,-8
Memphis Grizzlies,Los Angeles Lakers,105,117,L,-12
Los Angeles Lakers,Memphis Grizzlies,117,105,W,12
Phoenix Suns,Toronto Raptors,101,118,L,-17
Toronto Raptors,Phoenix Suns,118,101,W,17
Dallas Mavericks,Orlando Magic,122,106,W,16
Orlando Magic,Dallas Mavericks,106,122,L,-16
San Antonio Spurs,Utah Jazz,113,104,W,9
Utah Jazz,San Antonio Spurs,104,113,L,-9
New Orleans Pelicans,Portland Trail Blazers,128,115,W,13
Portland Trail Blazers,New Orleans Pelicans,115,128,L,-13
Boston Celtics,Minnesota Timberwolves,127,117,W,10
Minnesota Timberwolves,Boston Celtics,117,127,L,-10
Denver Nuggets,Oklahoma City Thunder,101,113,L,-12
Oklahoma City Thunder,Denver Nuggets,113,101,W,12
Miami Heat,Atlanta Hawks,124,129,L,-5
Atlanta Hawks,Miami Heat,129,124,W,5
Brooklyn Nets,Philadelphia 76ers,104,112,L,-8
Philadelphia 76ers,Brooklyn Nets,112,104,W,8
Houston Rockets,Golden State Warriors,135,105,W,30
Golden State Warriors,Houston Rockets,105,135,L,-30
Memphis Grizzlies,Sacramento Kings,125,129,L,-4
Sacramento Kings,Memphis Grizzlies,129,125,W,4
Milwaukee Bucks,Detroit Pistons,126,106,W,20
Detroit Pistons,Milwaukee Bucks,106,126,L,-20
Charlotte Hornets,Chicago Bulls,103,93,W,10
Chicago Bulls,Charlotte Hornets,93,103,L,-10
Los Angeles Clippers,Boston Celtics,133,141,L,-8
Boston Celtics,Los Angeles Clippers,141,133,W,8
Oklahoma City Thunder,New Orleans Pelicans,123,118,W,5
New Orleans Pelicans,Oklahoma City Thunder,118,123,L,-5
Detroit Pistons,Orlando Magic,112,116,L,-4
Orlando Magic,Detroit Pistons,116,112,W,4
Los Angeles Lakers,Denver Nuggets,120,116,W,4
Denver Nuggets,Los Angeles Lakers,116,120,L,-4
Sacramento Kings,Dallas Mavericks,111,130,L,-19
Dallas Mavericks,Sacramento Kings,130,111,W,19
Washington Wizards,New York Knicks,114,96,W,18
New York Knicks,Washington Wizards,96,114,L,-18
Milwaukee Bucks,Indiana Pacers,111,118,L,-7
Indiana Pacers,Milwaukee Bucks,118,111,W,7
Atlanta Hawks,Cleveland Cavaliers,105,127,L,-22
Cleveland Cavaliers,Atlanta Hawks,127,105,W,22
Charlotte Hornets,Minnesota Timberwolves,115,108,W,7
Minnesota Timberwolves,Charlotte Hornets,108,115,L,-7
Golden State Warriors,Phoenix Suns,106,112,L,-6
Phoenix Suns,Golden State Warriors,112,106,W,6
Toronto Raptors,Brooklyn Nets,91,101,L,-10
Brooklyn Nets,Toronto Raptors,101,91,W,10
Portland Trail Blazers,Memphis Grizzlies,104,111,L,-7
Memphis Grizzlies,Portland Trail Blazers,111,104,W,7
Miami Heat,Utah Jazz,101,116,L,-15
Utah Jazz,Miami Heat,116,101,W,15
Los Angeles Clippers,Philadelphia 76ers,103,110,L,-7
Philadelphia 76ers,Los Angeles Clippers,110,103,W,7
San Antonio Spurs,Oklahoma City Thunder,114,106,W,8
Oklahoma City Thunder,San Antonio Spurs,106,114,L,-8
Boston Celtics,Houston Rockets,105,116,L,-11
Houston Rockets,Boston Celtics,116,105,W,11
Portland Trail Blazers,New Orleans Pelicans,117,138,L,-21
New Orleans Pelicans,Portland Trail Blazers,138,117,W,21
Chicago Bulls,Washington Wizards,114,126,L,-12
Washington Wizards,Chicago Bulls,126,114,W,12
Miami Heat,Golden State Warriors,113,101,W,12
Golden State Warriors,Miami Heat,101,113,L,-12
Brooklyn Nets,Indiana Pacers,106,105,W,1
Indiana Pacers,Brooklyn Nets,105,106,L,-1
Phoenix Suns,Los Angeles Lakers,100,125,L,-25
Los Angeles Lakers,Phoenix Suns,125,100,W,25
Charlotte Hornets,Detroit Pistons,87,76,W,11
Detroit Pistons,Charlotte Hornets,76,87,L,-11
San Antonio Spurs,Denver Nuggets,120,127,L,-7
Denver Nuggets,San Antonio Spurs,127,120,W,7
Utah Jazz,Dallas Mavericks,123,119,W,4
Dallas Mavericks,Utah Jazz,119,123,L,-4
Minnesota Timberwolves,Toronto Raptors,126,137,L,-11
Toronto Raptors,Minnesota Timberwolves,137,126,W,11
Sacramento Kings,Milwaukee Bucks,111,123,L,-12
Milwaukee Bucks,Sacramento Kings,123,111,W,12
Atlanta Hawks,Orlando Magic,126,135,L,-9
Orlando Magic,Atlanta Hawks,135,126,W,9
New York Knicks,Atlanta Hawks,135,140,L,-5
Atlanta Hawks,New York Knicks,140,135,W,5
Miami Heat,Portland Trail Blazers,109,115,L,-6
Portland Trail Blazers,Miami Heat,115,109,W,6
Chicago Bulls,Philadelphia 76ers,111,118,L,-7
Philadelphia 76ers,Chicago Bulls,118,111,W,7
Utah Jazz,Houston Rockets,114,113,W,1
Houston Rockets,Utah Jazz,113,114,L,-1
Memphis Grizzlies,Washington Wizards,106,99,W,7
Washington Wizards,Memphis Grizzlies,99,106,L,-7
Los Angeles Clippers,Cleveland Cavaliers,133,92,W,41
Cleveland Cavaliers,Los Angeles Clippers,92,133,L,-41
Boston Celtics,Oklahoma City Thunder,112,111,W,1
Oklahoma City Thunder,Boston Celtics,111,112,L,-1
Dallas Mavericks,Charlotte Hornets,116,100,W,16
Charlotte Hornets,Dallas Mavericks,100,116,L,-16
Los Angeles Lakers,Golden State Warriors,125,120,W,5
Golden State Warriors,Los Angeles Lakers,120,125,L,-5
Brooklyn Nets,Toronto Raptors,118,119,L,-1
Toronto Raptors,Brooklyn Nets,119,118,W,1
Denver Nuggets,Phoenix Suns,117,108,W,9
Phoenix Suns,Denver Nuggets,108,117,L,-9
San Antonio Spurs,Sacramento Kings,102,122,L,-20
Sacramento Kings,San Antonio Spurs,122,102,W,20
Los Angeles Clippers,Minnesota Timberwolves,115,142,L,-27
Minnesota Timberwolves,Los Angeles Clippers,142,115,W,27
Milwaukee Bucks,Orlando Magic,111,95,W,16
Orlando Magic,Milwaukee Bucks,95,111,L,-16
New Orleans Pelicans,Indiana Pacers,124,117,W,7
Indiana Pacers,New Orleans Pelicans,117,124,L,-7
New York Knicks,Detroit Pistons,95,92,W,3
Detroit Pistons,New York Knicks,92,95,L,-3
Atlanta Hawks,Boston Celtics,107,112,L,-5
Boston Celtics,Atlanta Hawks,112,107,W,5
Detroit Pistons,Oklahoma City Thunder,101,108,L,-7
Oklahoma City Thunder,Detroit Pistons,108,101,W,7
Toronto Raptors,Indiana Pacers,115,106,W,9
Indiana Pacers,Toronto Raptors,106,115,L,-9
Dallas Mavericks,Washington Wizards,118,119,L,-1
Washington Wizards,Dallas Mavericks,119,118,W,1
Miami Heat,Sacramento Kings,97,105,L,-8
Sacramento Kings,Miami Heat,105,97,W,8
Houston Rockets,Phoenix Suns,91,127,L,-36
Phoenix Suns,Houston Rockets,127,91,W,36
Portland Trail Blazers,Utah Jazz,114,117,L,-3
Utah Jazz,Portland Trail Blazers,117,114,W,3
Memphis Grizzlies,Philadelphia 76ers,107,119,L,-12
Philadelphia 76ers,Memphis Grizzlies,119,107,W,12
Houston Rockets,Los Angeles Lakers,121,111,W,10
Los Angeles Lakers,Houston Rockets,111,121,L,-10
San Antonio Spurs,Portland Trail Blazers,117,125,L,-8
Portland Trail Blazers,San Antonio Spurs,125,117,W,8
Orlando Magic,New York Knicks,103,105,L,-2
New York Knicks,Orlando Magic,105,103,W,2
Philadelphia 76ers,Milwaukee Bucks,101,112,L,-11
Milwaukee Bucks,Philadelphia 76ers,112,101,W,11
New Orleans Pelicans,Chicago Bulls,125,119,W,6
Chicago Bulls,New Orleans Pelicans,119,125,L,-6
Denver Nuggets,Utah Jazz,98,95,W,3
Utah Jazz,Denver Nuggets,95,98,L,-3
Golden State Warriors,Brooklyn Nets,88,129,L,-41
Brooklyn Nets,Golden State Warriors,129,88,W,41
Orlando Magic,Boston Celtics,100,116,L,-16
Boston Celtics,Orlando Magic,116,100,W,16
Indiana Pacers,Toronto Raptors,118,119,L,-1
Toronto Raptors,Indiana Pacers,119,118,W,1
Cleveland Cavaliers,Oklahoma City Thunder,103,109,L,-6
Oklahoma City Thunder,Cleveland Cavaliers,109,103,W,6
Memphis Grizzlies,Dallas Mavericks,121,107,W,14
Dallas Mavericks,Memphis Grizzlies,107,121,L,-14
Miami Heat,Los Angeles Clippers,111,128,L,-17
Los Angeles Clippers,Miami Heat,128,111,W,17
Phoenix Suns,Detroit Pistons,108,116,L,-8
Detroit Pistons,Phoenix Suns,116,108,W,8
Atlanta Hawks,Minnesota Timberwolves,127,120,W,7
Minnesota Timberwolves,Atlanta Hawks,120,127,L,-7
Charlotte Hornets,Houston Rockets,110,125,L,-15
Houston Rockets,Charlotte Hornets,125,110,W,15
San Antonio Spurs,Los Angeles Lakers,102,129,L,-27
Los Angeles Lakers,San Antonio Spurs,129,102,W,27
Portland Trail Blazers,Denver Nuggets,99,127,L,-28
Denver Nuggets,Portland Trail Blazers,127,99,W,28
Milwaukee Bucks,New Orleans Pelicans,120,108,W,12
New Orleans Pelicans,Milwaukee Bucks,108,120,L,-12
San Antonio Spurs,Los Angeles Clippers,105,108,L,-3
Los Angeles Clippers,San Antonio Spurs,108,105,W,3
Detroit Pistons,Memphis Grizzlies,82,96,L,-14
Memphis Grizzlies,Detroit Pistons,96,82,W,14
Golden State Warriors,Washington Wizards,125,117,W,8
Washington Wizards,Golden State Warriors,117,125,L,-8
Phoenix Suns,Brooklyn Nets,97,119,L,-22
Brooklyn Nets,Phoenix Suns,119,97,W,22
New York Knicks,Cleveland Cavaliers,139,134,W,5
Cleveland Cavaliers,New York Knicks,134,139,L,-5
Minnesota Timberwolves,Sacramento Kings,109,113,L,-4
Sacramento Kings,Minnesota Timberwolves,113,109,W,4
Boston Celtics,Atlanta Hawks,123,115,W,8
Atlanta Hawks,Boston Celtics,115,123,L,-8
Orlando Magic,Charlotte Hornets,112,100,W,12
Charlotte Hornets,Orlando Magic,100,112,L,-12
Dallas Mavericks,Indiana Pacers,112,103,W,9
Indiana Pacers,Dallas Mavericks,103,112,L,-9
Philadelphia 76ers,Miami Heat,106,137,L,-31
Miami Heat,Philadelphia 76ers,137,106,W,31
Denver Nuggets,Detroit Pistons,123,128,L,-5
Detroit Pistons,Denver Nuggets,128,123,W,5
Chicago Bulls,Toronto Raptors,102,129,L,-27
Toronto Raptors,Chicago Bulls,129,102,W,27
New Orleans Pelicans,Houston Rockets,109,117,L,-8
Houston Rockets,New Orleans Pelicans,117,109,W,8
Phoenix Suns,Milwaukee Bucks,108,129,L,-21
Milwaukee Bucks,Phoenix Suns,129,108,W,21
Los Angeles Lakers,Sacramento Kings,129,113,W,16
Sacramento Kings,Los Angeles Lakers,113,129,L,-16
Minnesota Timberwolves,Los Angeles Clippers,106,118,L,-12
Los Angeles Clippers,Minnesota Timberwolves,118,106,W,12
Atlanta Hawks,Dallas Mavericks,100,123,L,-23
Dallas Mavericks,Atlanta Hawks,123,100,W,23
Brooklyn Nets,Washington Wizards,107,113,L,-6
Washington Wizards,Brooklyn Nets,113,107,W,6
Charlotte Hornets,San Antonio Spurs,90,114,L,-24
San Antonio Spurs,Charlotte Hornets,114,90,W,24
Golden State Warriors,Cleveland Cavaliers,131,112,W,19
Cleveland Cavaliers,Golden State Warriors,112,131,L,-19
Miami Heat,Orlando Magic,102,89,W,13
Orlando Magic,Miami Heat,89,102,L,-13
New York Knicks,Indiana Pacers,92,85,W,7
Indiana Pacers,New York Knicks,85,92,L,-7
Utah Jazz,Portland Trail Blazers,107,124,L,-17
Portland Trail Blazers,Utah Jazz,124,107,W,17
Philadelphia 76ers,Boston Celtics,95,116,L,-21
Boston Celtics,Philadelphia 76ers,116,95,W,21
Portland Trail Blazers,Los Angeles Lakers,127,119,W,8
Los Angeles Lakers,Portland Trail Blazers,119,127,L,-8
Oklahoma City Thunder,Phoenix Suns,111,107,W,4
Phoenix Suns,Oklahoma City Thunder,107,111,L,-4
Memphis Grizzlies,New Orleans Pelicans,111,139,L,-28
New Orleans Pelicans,Memphis Grizzlies,139,111,W,28
Dallas Mavericks,Houston Rockets,121,128,L,-7
Houston Rockets,Dallas Mavericks,128,121,W,7
Chicago Bulls,Brooklyn Nets,118,133,L,-15
Brooklyn Nets,Chicago Bulls,133,118,W,15
Toronto Raptors,Detroit Pistons,105,92,W,13
Detroit Pistons,Toronto Raptors,92,105,L,-13
Denver Nuggets,Milwaukee Bucks,127,115,W,12
Milwaukee Bucks,Denver Nuggets,115,127,L,-12
Golden State Warriors,Boston Celtics,104,119,L,-15
Boston Celtics,Golden State Warriors,119,104,W,15
Charlotte Hornets,Washington Wizards,107,121,L,-14
Washington Wizards,Charlotte Hornets,121,107,W,14
Philadelphia 76ers,Atlanta Hawks,117,127,L,-10
Atlanta Hawks,Philadelphia 76ers,127,117,W,10
Sacramento Kings,Los Angeles Clippers,124,103,W,21
Los Angeles Clippers,Sacramento Kings,103,124,L,-21
Utah Jazz,Denver Nuggets,100,106,L,-6
Denver Nuggets,Utah Jazz,106,100,W,6
Toronto Raptors,Cleveland Cavaliers,115,109,W,6
Cleveland Cavaliers,Toronto Raptors,109,115,L,-6
Memphis Grizzlies,New York Knicks,127,106,W,21
New York Knicks,Memphis Grizzlies,106,127,L,-21
Utah Jazz,San Antonio Spurs,120,127,L,-7
San Antonio Spurs,Utah Jazz,127,120,W,7
Detroit Pistons,Brooklyn Nets,115,125,L,-10
Brooklyn Nets,Detroit Pistons,125,115,W,10
Oklahoma City Thunder,Sacramento Kings,120,100,W,20
Sacramento Kings,Oklahoma City Thunder,100,120,L,-20
Houston Rockets,Portland Trail Blazers,112,125,L,-13
